Probability of letter appearing in word
    1. e (p=0.4700) (94/200)
    2. r (p=0.4300) (86/200)
    3. a (p=0.3850) (77/200)
    4. t (p=0.3100) (62/200)
    5. o (p=0.3100) (62/200)
    6. i (p=0.2650) (53/200)
    7. l (p=0.2550) (51/200)
    8. s (p=0.2250) (45/200)
    9. c (p=0.2000) (40/200)
   10. u (p=0.2000) (40/200)
   11. d (p=0.1850) (37/200)
   12. n (p=0.1750) (35/200)
   13. y (p=0.1550) (31/200)
   14. b (p=0.1500) (30/200)
   15. g (p=0.1450) (29/200)
   16. p (p=0.1450) (29/200)
   17. h (p=0.1450) (29/200)
   18. m (p=0.1100) (22/200)
   19. f (p=0.1050) (21/200)
   20. k (p=0.0800) (16/200)
   21. w (p=0.0650) (13/200)
   22. v (p=0.0500) (10/200)
   23. x (p=0.0200) (4/200)
   24. z (p=0.0200) (4/200)
   25. j (p=0.0150) (3/200)
   26. q (p=0.0050) (1/200)

Probability of letter appearing at a given position
   Position 1
       1. s (p=0.1200) (24/200)
       2. c (p=0.0950) (19/200)
       3. b (p=0.0950) (19/200)
       4. f (p=0.0800) (16/200)
       5. a (p=0.0700) (14/200)
       6. g (p=0.0700) (14/200)
       7. p (p=0.0700) (14/200)
       8. r (p=0.0500) (10/200)
       9. t (p=0.0500) (10/200)
      10. d (p=0.0450) (9/200)
      11. m (p=0.0400) (8/200)
      12. e (p=0.0350) (7/200)
      13. h (p=0.0300) (6/200)
      14. l (p=0.0300) (6/200)
      15. u (p=0.0250) (5/200)
      16. w (p=0.0250) (5/200)
      17. o (p=0.0150) (3/200)
      18. v (p=0.0150) (3/200)
      19. k (p=0.0100) (2/200)
      20. i (p=0.0100) (2/200)
      21. n (p=0.0050) (1/200)
      22. q (p=0.0050) (1/200)
      23. y (p=0.0050) (1/200)
      24. j (p=0.0050) (1/200)
   Position 2
       1. r (p=0.1700) (34/200)
       2. o (p=0.1550) (31/200)
       3. e (p=0.1100) (22/200)
       4. a (p=0.1100) (22/200)
       5. i (p=0.0850) (17/200)
       6. l (p=0.0700) (14/200)
       7. u (p=0.0550) (11/200)
       8. t (p=0.0400) (8/200)
       9. h (p=0.0350) (7/200)
      10. p (p=0.0250) (5/200)
      11. s (p=0.0250) (5/200)
      12. w (p=0.0200) (4/200)
      13. b (p=0.0200) (4/200)
      14. n (p=0.0200) (4/200)
      15. v (p=0.0100) (2/200)
      16. g (p=0.0100) (2/200)
      17. y (p=0.0100) (2/200)
      18. d (p=0.0050) (1/200)
      19. f (p=0.0050) (1/200)
      20. j (p=0.0050) (1/200)
      21. m (p=0.0050) (1/200)
      22. x (p=0.0050) (1/200)
      23. c (p=0.0050) (1/200)
   Position 3
       1. a (p=0.1400) (28/200)
       2. o (p=0.1250) (25/200)
       3. i (p=0.1200) (24/200)
       4. r (p=0.0900) (18/200)
       5. u (p=0.0850) (17/200)
       6. e (p=0.0700) (14/200)
       7. l (p=0.0600) (12/200)
       8. t (p=0.0550) (11/200)
       9. n (p=0.0350) (7/200)
      10. g (p=0.0250) (5/200)
      11. s (p=0.0250) (5/200)
      12. m (p=0.0250) (5/200)
      13. d (p=0.0250) (5/200)
      14. p (p=0.0250) (5/200)
      15. b (p=0.0200) (4/200)
      16. c (p=0.0150) (3/200)
      17. v (p=0.0100) (2/200)
      18. f (p=0.0100) (2/200)
      19. w (p=0.0100) (2/200)
      20. x (p=0.0100) (2/200)
      21. j (p=0.0050) (1/200)
      22. y (p=0.0050) (1/200)
      23. z (p=0.0050) (1/200)
      24. h (p=0.0050) (1/200)
   Position 4
       1. e (p=0.1300) (26/200)
       2. a (p=0.0900) (18/200)
       3. c (p=0.0850) (17/200)
       4. n (p=0.0750) (15/200)
       5. s (p=0.0700) (14/200)
       6. r (p=0.0700) (14/200)
       7. i (p=0.0650) (13/200)
       8. t (p=0.0550) (11/200)
       9. d (p=0.0450) (9/200)
      10. o (p=0.0450) (9/200)
      11. l (p=0.0450) (9/200)
      12. m (p=0.0400) (8/200)
      13. u (p=0.0350) (7/200)
      14. k (p=0.0250) (5/200)
      15. g (p=0.0250) (5/200)
      16. p (p=0.0200) (4/200)
      17. v (p=0.0150) (3/200)
      18. b (p=0.0150) (3/200)
      19. z (p=0.0150) (3/200)
      20. h (p=0.0150) (3/200)
      21. f (p=0.0100) (2/200)
      22. w (p=0.0100) (2/200)
   Position 5
       1. e (p=0.1800) (36/200)
       2. y (p=0.1350) (27/200)
       3. t (p=0.1300) (26/200)
       4. r (p=0.0850) (17/200)
       5. h (p=0.0750) (15/200)
       6. l (p=0.0700) (14/200)
       7. d (p=0.0650) (13/200)
       8. k (p=0.0450) (9/200)
       9. n (p=0.0450) (9/200)
      10. a (p=0.0250) (5/200)
      11. s (p=0.0250) (5/200)
      12. c (p=0.0250) (5/200)
      13. g (p=0.0200) (4/200)
      14. p (p=0.0150) (3/200)
      15. o (p=0.0150) (3/200)
      16. m (p=0.0150) (3/200)
      17. b (p=0.0150) (3/200)
      18. f (p=0.0100) (2/200)
      19. x (p=0.0050) (1/200)
