Word scores
      1. saner (score=0.2549)
      2. sated (score=0.2448)
      3. sager (score=0.2426)
      4. saber (score=0.2424)
      5. sayer (score=0.2416)
      6. sawer (score=0.2413)
      7. safer (score=0.2412)
      8. saver (score=0.2410)
      9. soled (score=0.2342)
     10. sawed (score=0.2339)
     11. saved (score=0.2335)
     12. sired (score=0.2282)
     13. sober (score=0.2275)
     14. sower (score=0.2264)
     15. siren (score=0.2214)
     16. sowed (score=0.2189)
     17. slier (score=0.2182)
     18. tared (score=0.2164)
     19. sited (score=0.2148)
     20. caret (score=0.2136)
     21. laser (score=0.2132)
     22. cared (score=0.2120)
     23. pared (score=0.2102)
     24. baser (score=0.2102)
     25. sizer (score=0.2101)
     26. shoer (score=0.2097)
     27. shier (score=0.2091)
     28. caner (score=0.2087)
     29. paler (score=0.2087)
     30. maser (score=0.2086)
     31. bared (score=0.2085)
     32. baler (score=0.2070)
     33. cased (score=0.2062)
     34. cater (score=0.2060)
     35. lased (score=0.2057)
     36. spier (score=0.2057)
     37. later (score=0.2055)
     38. oared (score=0.2053)
     39. fared (score=0.2046)
     40. pater (score=0.2042)
     41. dater (score=0.2041)
     42. haler (score=0.2039)
     43. sinew (score=0.2036)
     44. shred (score=0.2035)
     45. paren (score=0.2034)
     46. skier (score=0.2031)
     47. tamer (score=0.2030)
     48. based (score=0.2027)
     49. sized (score=0.2026)
     50. taper (score=0.2026)
     51. shoed (score=0.2022)
     52. shied (score=0.2016)
     53. caned (score=0.2013)
     54. paled (score=0.2012)
     55. mater (score=0.2009)
     56. rated (score=0.2009)
     57. stied (score=0.2005)
     58. super (score=0.2004)
     59. taker (score=0.1996)
     60. hater (score=0.1995)
     61. baled (score=0.1995)
     62. paned (score=0.1995)
     63. taxer (score=0.1983)
     64. lacer (score=0.1983)
     65. loser (score=0.1982)
     66. caper (score=0.1982)
     67. spied (score=0.1982)
     68. lamer (score=0.1982)
     69. toner (score=0.1982)
     70. water (score=0.1972)
     71. saute (score=0.1971)
     72. cored (score=0.1970)
     73. pacer (score=0.1970)
     74. poser (score=0.1969)
     75. slued (score=0.1969)
     76. doser (score=0.1968)
     77. matey (score=0.1966)
     78. sarge (score=0.1966)
     79. haled (score=0.1965)
     80. cager (score=0.1964)
     81. maned (score=0.1962)
     82. slyer (score=0.1960)
     83. lager (score=0.1959)
     84. skied (score=0.1957)
     85. tamed (score=0.1956)
     86. pored (score=0.1953)
     87. taped (score=0.1951)
     88. bated (score=0.1951)
     89. layer (score=0.1950)
     90. laker (score=0.1947)
     91. pager (score=0.1946)
     92. laver (score=0.1943)
     93. waled (score=0.1942)
     94. lacey (score=0.1939)
     95. panel (score=0.1939)
     96. poler (score=0.1937)
     97. macer (score=0.1937)
     98. cadet (score=0.1937)
     99. payer (score=0.1937)
    100. raced (score=0.1936)
    101. bored (score=0.1936)
    102. mated (score=0.1935)
    103. laxer (score=0.1935)
    104. valet (score=0.1934)
    105. pawer (score=0.1934)
    106. loner (score=0.1933)
    107. raped (score=0.1931)
    108. harem (score=0.1930)
    109. paver (score=0.1930)
    110. coset (score=0.1928)
    111. spiel (score=0.1926)
    112. waned (score=0.1925)
    113. fader (score=0.1922)
    114. hated (score=0.1920)
    115. cagey (score=0.1920)
    116. gamer (score=0.1919)
    117. gated (score=0.1918)
    118. baker (score=0.1917)
    119. gaper (score=0.1915)
    120. facer (score=0.1914)
    121. raged (score=0.1913)
    122. fated (score=0.1912)
    123. poset (score=0.1911)
    124. taxed (score=0.1909)
    125. laced (score=0.1908)
    126. wader (score=0.1908)
    127. namer (score=0.1908)
    128. caped (score=0.1908)
    129. lamed (score=0.1907)
    130. toned (score=0.1907)
    131. strep (score=0.1905)
    132. rayed (score=0.1903)
    133. gored (score=0.1903)
    134. boner (score=0.1903)
    135. maker (score=0.1901)
    136. raked (score=0.1901)
    137. vaned (score=0.1901)
    138. paten (score=0.1899)
    139. raved (score=0.1897)
    140. shrew (score=0.1896)
    141. paced (score=0.1895)
    142. posed (score=0.1895)
    143. coney (score=0.1895)
    144. mosey (score=0.1893)
    145. aired (score=0.1893)
    146. doter (score=0.1892)
    147. holer (score=0.1890)
    148. hayer (score=0.1889)
    149. caged (score=0.1889)
    150. mazer (score=0.1888)
    151. razed (score=0.1887)
    152. gayer (score=0.1887)
    153. strew (score=0.1885)
    154. faker (score=0.1878)
    155. caked (score=0.1878)
    156. cawed (score=0.1877)
    157. toper (score=0.1877)
    158. wager (score=0.1876)
    159. gamey (score=0.1876)
    160. hazer (score=0.1873)
    161. caved (score=0.1873)
    162. honer (score=0.1873)
    163. paged (score=0.1871)
    164. gazer (score=0.1871)
    165. goner (score=0.1871)
    166. shyer (score=0.1869)
    167. laved (score=0.1868)
    168. sabre (score=0.1867)
    169. faxer (score=0.1865)
    170. nosey (score=0.1865)
    171. waker (score=0.1865)
    172. tired (score=0.1864)
    173. morel (score=0.1864)
    174. coned (score=0.1863)
    175. poled (score=0.1863)
    176. maced (score=0.1862)
    177. wafer (score=0.1862)
    178. payed (score=0.1862)
    179. waver (score=0.1860)
    180. lazed (score=0.1859)
    181. pawed (score=0.1859)
    182. sable (score=0.1857)
    183. camel (score=0.1856)
    184. paved (score=0.1855)
    185. facet (score=0.1855)
    186. screw (score=0.1854)
    187. taken (score=0.1853)
    188. waxer (score=0.1852)
    189. oaten (score=0.1850)
    190. toyer (score=0.1849)
    191. tiler (score=0.1849)
    192. xored (score=0.1848)
    193. laden (score=0.1848)
    194. hosed (score=0.1848)
    195. salve (score=0.1847)
    196. toker (score=0.1847)
    197. holey (score=0.1847)
    198. coder (score=0.1846)
    199. tower (score=0.1846)
    200. cameo (score=0.1845)
    201. bayed (score=0.1845)
    202. gamed (score=0.1845)
    203. money (score=0.1844)
    204. spued (score=0.1843)
    205. baked (score=0.1843)
    206. ravel (score=0.1841)
    207. gaped (score=0.1840)
    208. faced (score=0.1839)
    209. latex (score=0.1839)
    210. famed (score=0.1838)
    211. comer (score=0.1837)
    212. nosed (score=0.1834)
    213. named (score=0.1833)
    214. coper (score=0.1833)
    215. sauce (score=0.1832)
    216. noter (score=0.1832)
    217. honey (score=0.1829)
    218. boned (score=0.1828)
    219. raven (score=0.1828)
    220. loper (score=0.1828)
    221. shlep (score=0.1826)
    222. holed (score=0.1815)
    223. hayed (score=0.1815)
    224. doper (score=0.1814)
    225. mazed (score=0.1813)
