Word scores
      1. crate (score=0.2477)
      2. trace (score=0.2441)
      3. erase (score=0.2438)
      4. crane (score=0.2437)
      5. brace (score=0.2429)
      6. arose (score=0.2392)
      7. grate (score=0.2388)
      8. prate (score=0.2388)
      9. grace (score=0.2388)
     10. trade (score=0.2354)
     11. siree (score=0.2339)
     12. orate (score=0.2333)
     13. arise (score=0.2322)
     14. crave (score=0.2314)
     15. irate (score=0.2313)
     16. craze (score=0.2309)
     17. grade (score=0.2301)
     18. crone (score=0.2286)
     19. brake (score=0.2278)
     20. brave (score=0.2266)
     21. braze (score=0.2261)
     22. cease (score=0.2249)
     23. grape (score=0.2247)
     24. frame (score=0.2244)
     25. drape (score=0.2228)
     26. grave (score=0.2225)
     27. prose (score=0.2223)
     28. trite (score=0.2221)
     29. graze (score=0.2220)
     30. trice (score=0.2220)
     31. drake (score=0.2219)
     32. crier (score=0.2215)
     33. tease (score=0.2214)
     34. erode (score=0.2212)
     35. prone (score=0.2197)
     36. aerie (score=0.2192)
     37. trier (score=0.2180)
     38. drone (score=0.2179)
     39. greet (score=0.2176)
     40. peace (score=0.2173)
     41. melee (score=0.2171)
     42. brine (score=0.2169)
     43. brier (score=0.2168)
     44. price (score=0.2167)
     45. tepee (score=0.2165)
     46. pease (score=0.2161)
     47. prise (score=0.2154)
     48. wrote (score=0.2151)
     49. spree (score=0.2150)
     50. creme (score=0.2140)
     51. lease (score=0.2136)
     52. crime (score=0.2129)
     53. agree (score=0.2128)
     54. prier (score=0.2127)
     55. broke (score=0.2127)
     56. trove (score=0.2127)
     57. crepe (score=0.2125)
     58. bride (score=0.2121)
     59. freer (score=0.2120)
     60. sorer (score=0.2114)
     61. frier (score=0.2109)
     62. drier (score=0.2109)
     63. cruet (score=0.2105)
     64. krone (score=0.2104)
     65. grope (score=0.2095)
     66. cruse (score=0.2094)
     67. probe (score=0.2088)
     68. eerie (score=0.2087)
     69. seine (score=0.2082)
     70. pewee (score=0.2082)
     71. donee (score=0.2082)
     72. write (score=0.2082)
     73. stare (score=0.2080)
     74. pride (score=0.2080)
     75. braes (score=0.2080)
     76. tripe (score=0.2079)
     77. urine (score=0.2076)
     78. terce (score=0.2075)
     79. prove (score=0.2073)
     80. grove (score=0.2073)
     81. tribe (score=0.2072)
     82. truce (score=0.2072)
     83. trike (score=0.2070)
     84. terse (score=0.2062)
     85. beret (score=0.2061)
     86. bribe (score=0.2060)
     87. brute (score=0.2060)
     88. serge (score=0.2056)
     89. breve (score=0.2056)
     90. levee (score=0.2056)
     91. puree (score=0.2056)
     92. drove (score=0.2055)
     93. froze (score=0.2051)
     94. three (score=0.2050)
     95. wrier (score=0.2042)
     96. prime (score=0.2041)
     97. grime (score=0.2041)
     98. creel (score=0.2039)
     99. torte (score=0.2039)
    100. corer (score=0.2034)
    101. truer (score=0.2033)
    102. grebe (score=0.2030)
    103. serve (score=0.2027)
    104. gripe (score=0.2026)
