Word scores
      1. slate (score=0.2192)
      2. crane (score=0.2124)
      3. share (score=0.2113)
      4. crate (score=0.2111)
      5. stare (score=0.2107)
      6. snare (score=0.2100)
      7. saute (score=0.2088)
      8. trace (score=0.2084)
      9. shale (score=0.2074)
     10. sarge (score=0.2070)
     11. stale (score=0.2068)
     12. spare (score=0.2050)
     13. scare (score=0.2044)
     14. saner (score=0.2040)
     15. sauce (score=0.2039)
     16. slake (score=0.2039)
     17. prate (score=0.2037)
     18. sabre (score=0.2035)
     19. raise (score=0.2035)
     20. slave (score=0.2030)
     21. sware (score=0.2027)
     22. grate (score=0.2010)
     23. arise (score=0.2010)
     24. trade (score=0.2006)
     25. scale (score=0.2005)
     26. orate (score=0.1997)
     27. sable (score=0.1996)
     28. arose (score=0.1994)
     29. spate (score=0.1989)
     30. irate (score=0.1987)
     31. brace (score=0.1983)
     32. grace (score=0.1962)
     33. faire (score=0.1959)
     34. carne (score=0.1958)
     35. skate (score=0.1954)
     36. crave (score=0.1950)
     37. slier (score=0.1947)
     38. suave (score=0.1947)
     39. slice (score=0.1946)
     40. carte (score=0.1945)
     41. space (score=0.1941)
     42. craze (score=0.1939)
     43. sager (score=0.1937)
     44. stoae (score=0.1934)
     45. saber (score=0.1927)
     46. shade (score=0.1926)
     47. sayer (score=0.1922)
     48. salve (score=0.1920)
     49. blare (score=0.1917)
     50. shame (score=0.1916)
     51. shire (score=0.1915)
     52. stage (score=0.1915)
     53. saver (score=0.1913)
     54. crone (score=0.1911)
     55. suite (score=0.1910)
     56. shape (score=0.1910)
     57. safer (score=0.1909)
     58. sawer (score=0.1909)
     59. shore (score=0.1899)
     60. shake (score=0.1899)
     61. glare (score=0.1895)
     62. parse (score=0.1894)
     63. store (score=0.1893)
     64. stake (score=0.1893)
     65. shave (score=0.1890)
     66. toile (score=0.1890)
     67. snore (score=0.1887)
     68. snake (score=0.1886)
     69. trice (score=0.1886)
     70. stave (score=0.1885)
     71. grade (score=0.1884)
     72. flare (score=0.1883)
     73. caret (score=0.1882)
     74. drape (score=0.1881)
     75. brake (score=0.1879)
     76. plane (score=0.1874)
     77. stile (score=0.1871)
     78. brave (score=0.1870)
     79. drake (score=0.1870)
     80. grape (score=0.1868)
     81. slide (score=0.1868)
     82. shine (score=0.1867)
     83. spade (score=0.1863)
     84. prise (score=0.1863)
     85. frame (score=0.1862)
     86. plate (score=0.1861)
     87. braze (score=0.1859)
     88. slime (score=0.1858)
     89. cause (score=0.1855)
     90. stole (score=0.1854)
     91. spire (score=0.1853)
     92. shone (score=0.1851)
     93. socle (score=0.1850)
     94. grave (score=0.1849)
     95. brine (score=0.1847)
     96. prose (score=0.1847)
     97. stone (score=0.1846)
     98. graze (score=0.1837)
     99. spore (score=0.1837)
    100. slope (score=0.1836)
    101. prone (score=0.1836)
    102. spake (score=0.1836)
    103. score (score=0.1831)
    104. thane (score=0.1829)
    105. canoe (score=0.1823)
    106. drone (score=0.1822)
    107. chase (score=0.1819)
    108. swore (score=0.1813)
    109. place (score=0.1812)
    110. alone (score=0.1807)
    111. shier (score=0.1807)
    112. spine (score=0.1805)
    113. cadre (score=0.1803)
    114. moire (score=0.1802)
    115. poise (score=0.1797)
    116. smile (score=0.1795)
    117. tripe (score=0.1793)
    118. spite (score=0.1792)
    119. price (score=0.1791)
    120. shoer (score=0.1791)
    121. urine (score=0.1789)
    122. sated (score=0.1788)
    123. carve (score=0.1783)
    124. caner (score=0.1783)
    125. farce (score=0.1783)
    126. scone (score=0.1783)
    127. caste (score=0.1782)
    128. cater (score=0.1781)
    129. trike (score=0.1781)
    130. swine (score=0.1781)
    131. noire (score=0.1780)
    132. pause (score=0.1780)
    133. crime (score=0.1778)
    134. write (score=0.1778)
    135. clave (score=0.1774)
    136. smite (score=0.1773)
    137. tribe (score=0.1772)
    138. since (score=0.1766)
    139. saint (score=0.1765)
    140. sober (score=0.1762)
    141. wrote (score=0.1762)
    142. table (score=0.1760)
    143. baize (score=0.1760)
    144. smote (score=0.1757)
    145. trove (score=0.1757)
    146. cruse (score=0.1756)
    147. solve (score=0.1756)
    148. large (score=0.1753)
    149. krone (score=0.1753)
    150. manse (score=0.1749)
    151. sidle (score=0.1747)
    152. close (score=0.1745)
    153. phase (score=0.1744)
    154. spier (score=0.1744)
    155. sower (score=0.1744)
    156. noise (score=0.1743)
    157. spice (score=0.1743)
    158. seamy (score=0.1740)
    159. cable (score=0.1740)
    160. false (score=0.1736)
    161. clone (score=0.1734)
    162. barge (score=0.1734)
    163. maize (score=0.1733)
    164. blade (score=0.1730)
    165. padre (score=0.1728)
    166. naive (score=0.1723)
    167. lance (score=0.1722)
    168. later (score=0.1721)
    169. blame (score=0.1720)
    170. garde (score=0.1718)
    171. snide (score=0.1715)
    172. voile (score=0.1715)
    173. waive (score=0.1715)
    174. haute (score=0.1714)
    175. borne (score=0.1714)
    176. pride (score=0.1713)
    177. surge (score=0.1712)
    178. taupe (score=0.1710)
    179. skier (score=0.1709)
    180. bride (score=0.1708)
    181. glade (score=0.1708)
    182. paste (score=0.1708)
    183. marge (score=0.1708)
    184. pater (score=0.1707)
    185. truce (score=0.1705)
    186. paler (score=0.1703)
    187. prime (score=0.1703)
    188. baste (score=0.1703)
    189. gorse (score=0.1703)
    190. koine (score=0.1702)
    191. teary (score=0.1701)
    192. taper (score=0.1700)
    193. snipe (score=0.1700)
    194. baler (score=0.1699)
    195. range (score=0.1698)
    196. tamer (score=0.1697)
    197. dance (score=0.1693)
    198. dater (score=0.1693)
    199. lapse (score=0.1690)
    200. rouse (score=0.1689)
    201. slant (score=0.1688)
    202. horse (score=0.1687)
    203. flame (score=0.1686)
    204. blaze (score=0.1683)
    205. siren (score=0.1683)
    206. singe (score=0.1683)
    207. anise (score=0.1681)
    208. whale (score=0.1681)
    209. cager (score=0.1680)
    210. stoke (score=0.1679)
    211. caper (score=0.1679)
    212. anile (score=0.1679)
    213. cadet (score=0.1679)
    214. shove (score=0.1676)
    215. grime (score=0.1676)
    216. mater (score=0.1675)
    217. laser (score=0.1675)
    218. shute (score=0.1673)
    219. prune (score=0.1671)
    220. stove (score=0.1671)
    221. gripe (score=0.1671)
    222. cruet (score=0.1670)
    223. flake (score=0.1668)
    224. tared (score=0.1668)
    225. worse (score=0.1668)
    226. taker (score=0.1668)
    227. prize (score=0.1667)
    228. forte (score=0.1666)
    229. haste (score=0.1665)
    230. broke (score=0.1665)
    231. route (score=0.1665)
    232. hater (score=0.1664)
    233. taxer (score=0.1664)
    234. calve (score=0.1664)
    235. drive (score=0.1663)
    236. anole (score=0.1663)
    237. saved (score=0.1663)
    238. prove (score=0.1662)
    239. glaze (score=0.1661)
    240. probe (score=0.1661)
    241. atone (score=0.1661)
    242. haler (score=0.1661)
    243. sawed (score=0.1658)
    244. alike (score=0.1656)
    245. baser (score=0.1656)
    246. grope (score=0.1655)
    247. brute (score=0.1653)
    248. alive (score=0.1648)
    249. cared (score=0.1647)
    250. drove (score=0.1647)
    251. slyer (score=0.1647)
    252. waste (score=0.1646)
    253. water (score=0.1645)
    254. unate (score=0.1645)
    255. voice (score=0.1645)
    256. laude (score=0.1644)
    257. maple (score=0.1643)
    258. chore (score=0.1642)
    259. facie (score=0.1641)
    260. toner (score=0.1639)
    261. spike (score=0.1638)
    262. gable (score=0.1638)
    263. tried (score=0.1637)
    264. grove (score=0.1635)
    265. chafe (score=0.1634)
    266. cagey (score=0.1632)
    267. afire (score=0.1632)
    268. sired (score=0.1631)
    269. thine (score=0.1631)
    270. louse (score=0.1629)
    271. maser (score=0.1629)
    272. lacer (score=0.1629)
    273. scope (score=0.1628)
    274. matey (score=0.1627)
    275. sizer (score=0.1627)
    276. adore (score=0.1626)
    277. swipe (score=0.1626)
    278. fable (score=0.1626)
    279. those (score=0.1626)
    280. paren (score=0.1625)
    281. spoke (score=0.1622)
    282. sprue (score=0.1621)
    283. soled (score=0.1620)
    284. lager (score=0.1620)
    285. chile (score=0.1619)
    286. force (score=0.1618)
    287. cried (score=0.1616)
    288. lamer (score=0.1616)
    289. afore (score=0.1616)
    290. least (score=0.1616)
    291. pacer (score=0.1615)
    292. lathe (score=0.1614)
    293. froze (score=0.1611)
    294. curse (score=0.1611)
    295. soapy (score=0.1610)
    296. cadge (score=0.1610)
    297. chine (score=0.1610)
    298. valet (score=0.1609)
    299. boule (score=0.1609)
    300. swive (score=0.1607)
    301. crude (score=0.1606)
    302. pager (score=0.1606)
    303. chose (score=0.1605)
    304. leant (score=0.1605)
    305. layer (score=0.1605)
    306. smoke (score=0.1604)
    307. curie (score=0.1604)
    308. aisle (score=0.1603)
    309. react (score=0.1602)
    310. amine (score=0.1602)
    311. clime (score=0.1601)
    312. douse (score=0.1601)
    313. spiel (score=0.1600)
    314. argue (score=0.1597)
    315. beast (score=0.1597)
    316. heart (score=0.1596)
    317. agile (score=0.1596)
    318. laver (score=0.1596)
    319. bathe (score=0.1595)
    320. mange (score=0.1593)
    321. deary (score=0.1592)
    322. payer (score=0.1591)
    323. phage (score=0.1589)
    324. laker (score=0.1586)
