Word scores
      1. saner (score=0.2701)
      2. sated (score=0.2600)
      3. sager (score=0.2579)
      4. saber (score=0.2571)
      5. caret (score=0.2570)
      6. sayer (score=0.2570)
      7. sawer (score=0.2561)
      8. saver (score=0.2558)
      9. cared (score=0.2557)
     10. tared (score=0.2555)
     11. safer (score=0.2552)
     12. pared (score=0.2509)
     13. caner (score=0.2504)
     14. cater (score=0.2494)
     15. bared (score=0.2481)
     16. sawed (score=0.2470)
     17. saved (score=0.2466)
     18. oared (score=0.2459)
     19. fared (score=0.2448)
     20. pater (score=0.2447)
     21. later (score=0.2443)
     22. dater (score=0.2442)
     23. paler (score=0.2434)
     24. sired (score=0.2429)
     25. caned (score=0.2412)
     26. baler (score=0.2406)
     27. mater (score=0.2405)
     28. slier (score=0.2401)
     29. rated (score=0.2400)
     30. caper (score=0.2396)
     31. hater (score=0.2394)
     32. taper (score=0.2393)
     33. tamer (score=0.2393)
     34. laser (score=0.2389)
     35. haler (score=0.2382)
     36. cager (score=0.2382)
     37. paren (score=0.2371)
     38. water (score=0.2367)
     39. paned (score=0.2365)
     40. baser (score=0.2364)
     41. soled (score=0.2364)
     42. taker (score=0.2363)
     43. pacer (score=0.2360)
     44. lacer (score=0.2356)
     45. maser (score=0.2350)
     46. cased (score=0.2348)
     47. taxer (score=0.2347)
     48. sober (score=0.2347)
     49. lamer (score=0.2345)
     50. paled (score=0.2343)
     51. sower (score=0.2338)
     52. pager (score=0.2334)
     53. cored (score=0.2333)
     54. cadet (score=0.2333)
     55. lager (score=0.2331)
     56. bated (score=0.2326)
     57. payer (score=0.2325)
     58. maned (score=0.2322)
     59. layer (score=0.2321)
     60. shier (score=0.2320)
     61. macer (score=0.2318)
     62. pawer (score=0.2317)
     63. laker (score=0.2315)
     64. baled (score=0.2314)
     65. paver (score=0.2313)
     66. raced (score=0.2313)
     67. mated (score=0.2313)
     68. laver (score=0.2310)
     69. caped (score=0.2304)
     70. hated (score=0.2303)
     71. gated (score=0.2302)
     72. fader (score=0.2302)
     73. taped (score=0.2302)
